Timestamp,Date,Symbol,Mode,Side,EntryPrice,ClosePrice,Qty,PnL_USDT,Strategy,Regime,Reason
1773240000364,2026-03-11 14:40:00,HYPE_USDT,PAPER,SELL,36.0390,36.6121,277.4772,-159.03,LiquiditySweepStrategy,high_volatility,SL
1773240300898,2026-03-11 14:45:00,VVV_USDT,PAPER,SELL,5.5970,5.6880,1786.6714,-162.59,LiquiditySweepStrategy,high_volatility,SL
1773242100756,2026-03-11 15:15:00,LINK_USDT,PAPER,BUY,9.0420,8.9752,1105.9500,-73.89,TrendPullbackStrategy,weak_trend,SL
1773243300205,2026-03-11 15:35:00,SOL_USDT,PAPER,BUY,85.9600,85.2497,116.3332,-82.63,LiquiditySweepStrategy,high_volatility,SL
1773243301381,2026-03-11 15:35:01,LINK_USDT,PAPER,BUY,9.0320,8.9659,1107.1745,-73.15,LiquiditySweepStrategy,high_volatility,SL
1773245402756,2026-03-11 16:10:02,VVV_USDT,PAPER,SELL,5.6950,5.7875,1755.9263,-162.36,LiquiditySweepStrategy,high_volatility,SL
1773247501525,2026-03-11 16:45:01,VVV_USDT,PAPER,SELL,5.7430,5.8499,1741.2502,-186.17,LiquiditySweepStrategy,high_volatility,SL
1773248700930,2026-03-11 17:05:00,SOL_USDT,PAPER,SELL,86.4200,86.8686,115.7140,-51.91,LiquiditySweepStrategy,high_volatility,SL
1773249003709,2026-03-11 17:10:03,VVV_USDT,PAPER,SELL,5.9640,5.9499,1676.7270,23.68,LiquiditySweepStrategy,high_volatility,SL
1773249602821,2026-03-11 17:20:02,HYPE_USDT,PAPER,SELL,36.6930,36.5764,272.5315,31.77,BreakoutStrategy,range,SL
1773250200199,2026-03-11 17:30:00,SOL_USDT,PAPER,SELL,86.9100,87.3250,115.0616,-47.75,LiquiditySweepStrategy,high_volatility,SL
1773250501636,2026-03-11 17:35:01,VVV_USDT,PAPER,SELL,5.9600,5.9420,1677.8523,30.20,LiquiditySweepStrategy,high_volatility,SL
1773255300216,2026-03-11 18:55:00,SOL_USDT,PAPER,SELL,87.7700,87.6699,113.9341,11.40,TrendPullbackStrategy,strong_trend,SL
1773264004120,2026-03-11 21:20:04,FLOW_USDT,PAPER,BUY,0.0563,0.0564,177525.2974,16.36,BreakoutStrategy,range,SL
1773264601369,2026-03-11 21:30:01,VVV_USDT,PAPER,SELL,5.8520,5.9541,1708.8175,-174.46,LiquiditySweepStrategy,high_volatility,SL
1773267900256,2026-03-11 22:25:00,SOL_USDT,PAPER,BUY,87.1700,87.2756,114.7184,12.11,BreakoutStrategy,range,SL
1773273604314,2026-03-12 00:00:04,VVV_USDT,PAPER,SELL,5.9240,5.7335,1688.0486,321.62,LiquiditySweepStrategy,high_volatility,TP
1773273905871,2026-03-12 00:05:05,FLOW_USDT,PAPER,BUY,0.0568,0.0563,175932.4419,-98.74,LiquiditySweepStrategy,high_volatility,SL
1773282300459,2026-03-12 02:25:00,HYPE_USDT,PAPER,SELL,36.8560,36.0291,271.3262,224.36,LiquiditySweepStrategy,high_volatility,TP
1773288312049,2026-03-12 04:05:12,FLOW_USDT,PAPER,BUY,0.0536,0.0527,186601.9780,-171.97,LiquiditySweepStrategy,high_volatility,SL
1773291902076,2026-03-12 05:05:02,HYPE_USDT,PAPER,BUY,35.9400,35.9929,278.2415,14.73,BreakoutStrategy,range,SL
1773293700378,2026-03-12 05:35:00,HYPE_USDT,PAPER,SELL,36.4810,36.7062,274.1153,-61.73,LiquiditySweepStrategy,high_volatility,SL
1773296410527,2026-03-12 06:20:10,VVV_USDT,PAPER,BUY,5.6730,5.6911,1762.7358,31.84,LiquiditySweepStrategy,high_volatility,SL
1773300607067,2026-03-12 07:30:07,FLOW_USDT,PAPER,SELL,0.0560,0.0558,178443.9686,36.25,LiquiditySweepStrategy,high_volatility,SL
1773303600417,2026-03-12 08:20:00,HYPE_USDT,PAPER,SELL,37.1660,37.0812,269.0631,22.82,BreakoutStrategy,range,SL
1773308700191,2026-03-12 09:45:00,HYPE_USDT,PAPER,SELL,37.2590,37.5531,268.3915,-78.94,TrendPullbackStrategy,strong_trend,SL
1773310805066,2026-03-12 10:20:05,FLOW_USDT,PAPER,SELL,0.0559,0.0556,165674.0253,40.00,LiquiditySweepStrategy,high_volatility,SL
1773311100424,2026-03-12 10:25:00,VVV_USDT,PAPER,SELL,5.6970,5.7674,1755.3098,-123.54,LiquiditySweepStrategy,high_volatility,SL
1773314213212,2026-03-12 11:16:53,HYPE_USDT,PAPER,SELL,37.9720,37.5570,263.3519,109.29,TrendPullbackStrategy,strong_trend,MANUAL
1773316320471,2026-03-12 11:52:00,PEPE_USDT,PAPER,BUY,0.0000,0.0000,3003003003.0030,-29.10,TrendPullbackStrategy,weak_trend,SL
1773323345188,2026-03-12 13:49:05,COMP_USDT,PAPER,SELL,17.7300,17.7207,564.0158,5.25,TrendPullbackStrategy,weak_trend,SL
1773323463534,2026-03-12 13:51:03,VVV_USDT,PAPER,SELL,5.6210,5.6134,1779.0429,13.49,TrendPullbackStrategy,weak_trend,SL
1773326887067,2026-03-12 14:48:07,PIXEL_USDT,PAPER,SELL,0.0108,0.0107,924043.6149,150.25,LiquiditySweepStrategy,high_volatility,TP
1773328081518,2026-03-12 15:08:01,PIXEL_USDT,PAPER,SELL,0.0109,0.0109,913242.0091,32.30,LiquiditySweepStrategy,high_volatility,SL
1773329341759,2026-03-12 15:29:01,VVV_USDT,PAPER,SELL,5.7100,5.7299,1751.3135,-34.93,LiquiditySweepStrategy,high_volatility,SL
1773329384323,2026-03-12 15:29:44,PIXEL_USDT,PAPER,SELL,0.0110,0.0108,910829.7659,193.10,BreakoutStrategy,range,MANUAL
1773332100277,2026-03-12 16:15:00,PIXEL_USDT,PAPER,SELL,0.0109,0.0109,917010.5456,10.14,LiquiditySweepStrategy,high_volatility,SL
1773332677166,2026-03-12 16:24:37,VVV_USDT,PAPER,SELL,5.9000,5.8250,1694.9153,127.12,LiquiditySweepStrategy,high_volatility,MANUAL
1773333480570,2026-03-12 16:38:00,PIXEL_USDT,PAPER,SELL,0.0114,0.0111,879662.2097,229.64,LiquiditySweepStrategy,high_volatility,TP
1773334025015,2026-03-12 16:47:05,VVV_USDT,PAPER,SELL,5.9270,5.8800,1687.1942,79.24,LiquiditySweepStrategy,high_volatility,TP
1773334740610,2026-03-12 16:59:00,PIXEL_USDT,PAPER,SELL,0.0112,0.0112,895175.0067,16.33,LiquiditySweepStrategy,high_volatility,SL
1773334982065,2026-03-12 17:03:02,COMP_USDT,PAPER,BUY,17.8000,17.8069,561.7978,3.89,BreakoutStrategy,range,SL
1773336361739,2026-03-12 17:26:01,PIXEL_USDT,PAPER,BUY,0.0110,0.0109,910332.2713,-102.10,LiquiditySweepStrategy,high_volatility,SL
1773338044519,2026-03-12 17:54:04,PIXEL_USDT,PAPER,BUY,0.0107,0.0109,934404.7842,181.13,LiquiditySweepStrategy,high_volatility,TP
1773338165067,2026-03-12 17:56:05,COMP_USDT,PAPER,BUY,17.8800,17.8431,559.2841,-20.66,BreakoutStrategy,range,SL
1773338820791,2026-03-12 18:07:00,PIXEL_USDT,PAPER,BUY,0.0106,0.0105,946880.0303,-92.34,LiquiditySweepStrategy,high_volatility,SL
1773341529507,2026-03-12 18:52:09,PIXEL_USDT,PAPER,BUY,0.0104,0.0104,957946.1634,-49.17,LiquiditySweepStrategy,high_volatility,SL
1773342061376,2026-03-12 19:01:01,VVV_USDT,PAPER,SELL,5.9280,5.9634,1686.9096,-59.76,TrendPullbackStrategy,strong_trend,SL
1773342851061,2026-03-12 19:14:11,COMP_USDT,PAPER,BUY,17.8700,17.9293,559.5971,33.20,TrendPullbackStrategy,weak_trend,TP
1773345070548,2026-03-12 19:51:10,VVV_USDT,PAPER,SELL,6.0910,6.0832,1641.7665,12.73,TrendPullbackStrategy,weak_trend,SL
1773346680716,2026-03-12 20:18:00,PIXEL_USDT,PAPER,SELL,0.0107,0.0108,937382.8271,-96.06,LiquiditySweepStrategy,high_volatility,SL
1773350467192,2026-03-12 21:21:07,COMP_USDT,PAPER,SELL,17.8100,17.8040,561.4823,3.36,TrendPullbackStrategy,weak_trend,SL
1773350584044,2026-03-12 21:23:04,PEPE_USDT,PAPER,SELL,0.0000,0.0000,3008423586.0409,-20.77,TrendPullbackStrategy,weak_trend,SL
1773350760758,2026-03-12 21:26:00,PIXEL_USDT,PAPER,SELL,0.0106,0.0109,814465.7771,-200.00,LiquiditySweepStrategy,high_volatility,SL
1773351124201,2026-03-12 21:32:04,PIXEL_USDT,PAPER,SELL,0.0109,0.0107,919455.6822,123.69,BreakoutStrategy,range,TP
1773351668062,2026-03-12 21:41:08,COMP_USDT,PAPER,SELL,17.7900,17.7838,562.1135,3.50,TrendPullbackStrategy,weak_trend,SL
1773352561066,2026-03-12 21:56:01,COMP_USDT,PAPER,SELL,17.7800,17.8036,562.4297,-13.28,TrendPullbackStrategy,weak_trend,SL
1773357181074,2026-03-12 23:13:01,PIXEL_USDT,PAPER,BUY,0.0105,0.0104,952380.9524,-60.92,LiquiditySweepStrategy,high_volatility,SL
1773358149544,2026-03-12 23:29:09,VVV_USDT,PAPER,SELL,6.1390,6.1303,1628.9298,14.18,LiquiditySweepStrategy,high_volatility,SL
1773359164508,2026-03-12 23:46:04,PIXEL_USDT,PAPER,SELL,0.0106,0.0106,942507.0688,7.85,TrendPullbackStrategy,weak_trend,SL
1773360430076,2026-03-13 00:07:10,COMP_USDT,PAPER,BUY,17.8500,17.8046,560.2241,-25.41,TrendPullbackStrategy,weak_trend,SL
1773360720260,2026-03-13 00:12:00,PIXEL_USDT,PAPER,SELL,0.0109,0.0110,920810.3131,-130.98,LiquiditySweepStrategy,high_volatility,SL
1773361381062,2026-03-13 00:23:01,PEPE_USDT,PAPER,SELL,0.0000,0.0000,2945508100.1473,-72.34,LiquiditySweepStrategy,high_volatility,SL
1773362045042,2026-03-13 00:34:05,PEPE_USDT,PAPER,SELL,0.0000,0.0000,2929973630.2373,-77.06,LiquiditySweepStrategy,high_volatility,SL
1773363975481,2026-03-13 01:06:15,VVV_USDT,PAPER,BUY,6.0370,6.0439,1656.4519,11.50,TrendPullbackStrategy,weak_trend,SL
1773364021435,2026-03-13 01:07:01,PIXEL_USDT,PAPER,SELL,0.0108,0.0109,926097.4254,-51.68,LiquiditySweepStrategy,high_volatility,SL
1773364203039,2026-03-13 01:10:03,PIXEL_USDT,PAPER,SELL,0.0108,0.0109,927643.7848,-116.39,LiquiditySweepStrategy,high_volatility,SL
1773366962610,2026-03-13 01:56:02,PIXEL_USDT,PAPER,SELL,0.0109,0.0109,918273.6455,17.72,BreakoutStrategy,range,SL
1773369121526,2026-03-13 02:32:01,PIXEL_USDT,PAPER,SELL,0.0112,0.0113,894934.6698,-127.58,LiquiditySweepStrategy,high_volatility,SL
1773371460699,2026-03-13 03:11:00,PIXEL_USDT,PAPER,SELL,0.0127,0.0130,732808.2495,-200.00,LiquiditySweepStrategy,high_volatility,SL
1773372060338,2026-03-13 03:21:00,PIXEL_USDT,PAPER,SELL,0.0132,0.0132,754572.9933,40.00,LiquiditySweepStrategy,high_volatility,SL
1773372120429,2026-03-13 03:22:00,PIXEL_USDT,PAPER,SELL,0.0134,0.0136,747831.2893,-180.31,LiquiditySweepStrategy,high_volatility,SL
1773378180208,2026-03-13 05:03:00,PIXEL_USDT,PAPER,SELL,0.0124,0.0126,806191.5511,-188.20,LiquiditySweepStrategy,high_volatility,SL
1773378480477,2026-03-13 05:08:00,PIXEL_USDT,PAPER,SELL,0.0130,0.0132,769645.1936,-129.99,LiquiditySweepStrategy,high_volatility,SL
1773380343431,2026-03-13 05:39:03,VVV_USDT,PAPER,BUY,6.2050,6.2144,1611.6035,15.07,TrendPullbackStrategy,weak_trend,SL
1773380820819,2026-03-13 05:47:00,PIXEL_USDT,PAPER,SELL,0.0130,0.0130,740276.2223,40.00,LiquiditySweepStrategy,high_volatility,SL
1773381120764,2026-03-13 05:52:00,PIXEL_USDT,PAPER,SELL,0.0130,0.0132,768462.3069,-137.95,LiquiditySweepStrategy,high_volatility,SL
1773381660633,2026-03-13 06:01:00,PIXEL_USDT,PAPER,SELL,0.0131,0.0133,765228.0380,-188.65,LiquiditySweepStrategy,high_volatility,SL
